s,x,y,psi,kappa,v_ref
13.8,3.43743,8.29254,3.12016,-0.048185,0
14,3.23761,8.30114,3.10918,-0.0445949,0
14.2,3.03788,8.31156,3.10232,-0.0140452,0
14.4,2.83818,8.32242,3.10356,0.0189182,0
14.6,2.63843,8.33233,3.10989,0.0349519,0
14.8,2.43857,8.33989,3.11755,0.0381558,0
15,2.23861,8.34372,3.12515,0.0350134,0
15.2,2.03863,8.34241,3.13155,0.0284694,0
15.4,1.83865,8.34,3.13654,0.0259151,0
15.6,1.63865,8.34,3.14192,0.0266078,0
15.8,1.43865,8.34,3.14718,0.0258999,0
16,1.23869,8.34286,3.15228,0.02931,0
16.2,1.0387,8.34352,3.1589,0.0354668,0
16.4,0.83875,8.33919,3.16646,0.0380388,0
16.6,0.638908,8.33129,3.17412,0.0340804,0
16.8,0.439163,8.32121,3.18009,0.0161778,0
17,0.239459,8.31034,3.18059,-0.0124932,0
17.2,0.039724,8.30006,3.1751,-0.0327309,0
17.4,-0.160102,8.29176,3.1675,-0.0377195,0
17.6,-0.360037,8.28685,3.16001,-0.0376168,0
17.8,-0.560028,8.28671,3.15245,-0.0354877,0
18,-0.759998,8.29,3.14581,-0.02839,0
18.2,-0.959998,8.29,3.1411,-0.0163093,0
18.4,-1.16,8.29,3.13929,-0.00169353,0
18.6,-1.36,8.29,3.14042,0.00575329,0
18.8,-1.56,8.29,3.14159,0.00293676,0
19,-1.76,8.29,3.14159,0,0
19.2,-1.96,8.29,3.14159,0,0
19.4,-2.16,8.29,3.14159,0,0
19.6,-2.36,8.29,3.14159,0,0
19.8,-2.56,8.29,3.14159,0,0
20,-2.76,8.29,3.14159,0,0
20.2,-2.96,8.29,3.14159,0,0
20.4,-3.16,8.29,3.14159,0,0
20.6,-3.36,8.29,3.14159,0,0
20.8,-3.56,8.29,3.14159,0,0
21,-3.76,8.29,3.14159,-0.000258503,0
21.2,-3.96,8.29,3.14149,-0.00400013,0
21.4,-4.16,8.29,3.13999,-0.0141829,0
21.6,-4.36,8.29,3.13582,-0.0240602,0
21.8,-4.56,8.29,3.13037,-0.0135725,0
22,-4.76,8.29029,3.13039,0.0417295,0
22.2,-4.95995,8.29419,3.14714,0.159508,0
22.4,-5.1598,8.30198,3.19452,0.350872,0
22.6,-5.35964,8.30944,3.28805,0.602916,0
22.8,-5.55933,8.30191,3.43502,0.850101,0
23,-5.75495,8.26289,3.62666,1.02983,0
23.2,-5.93237,8.17343,3.8459,1.11808,0
23.4,-6.06443,8.02567,4.07302,1.10147,0
23.6,-6.13759,7.8406,4.28559,0.983916,0
23.8,-6.16563,7.64293,4.46544,0.783591,0
24,-6.16717,7.44303,4.59764,0.528195,0
24.2,-6.15794,7.24325,4.67657,0.288134,0
24.4,-6.15343,7.04333,4.7135,0.118283,0
24.6,-6.15,6.84336,4.72411,0.0195415,0
24.8,-6.15,6.64336,4.72136,-0.0191512,0
25,-6.15,6.44336,4.71645,-0.019372,0
25.2,-6.15,6.24336,4.71361,-0.0101525,0
25.4,-6.15,6.04336,4.71239,-0.00305885,0
25.6,-6.15,5.84336,4.71239,0,0
25.8,-6.15,5.64336,4.71239,0,0
26,-6.15,5.44336,4.71239,0,0
26.2,-6.15,5.24336,4.71239,-0.000603471,0
26.4,-6.15,5.04336,4.71215,-0.00398845,0
26.6,-6.15,4.84336,4.71079,-0.00471629,0
26.8,-6.15,4.64336,4.71026,0.00548459,0
27,-6.15,4.44336,4.71299,0.0202115,0
27.2,-6.15068,4.24337,4.71835,0.0308776,0
27.4,-6.15379,4.0434,4.72534,0.0365651,0
27.6,-6.15217,3.84341,4.73297,0.0378902,0
27.8,-6.14616,3.64351,4.74049,0.0370326,0
28,-6.13717,3.44371,4.74778,0.0285426,0
28.2,-6.12659,3.24399,4.75191,0.00422657,0
28.4,-6.11581,3.04428,4.74947,-0.0229277,0
28.6,-6.10621,2.84451,4.74274,-0.035767,0
28.8,-6.09919,2.64464,4.73517,-0.0380138,0
29,-6.09615,2.44467,4.72753,-0.037287,0
29.2,-6.09838,2.24469,4.72025,-0.0330444,0
29.4,-6.1,2.04471,4.71432,-0.026683,0
29.6,-6.1,1.84471,4.70958,-0.023224,0
29.8,-6.1,1.64471,4.70503,-0.0216349,0
30,-6.1,1.44471,4.70093,-0.00716409,0
30.2,-6.1,1.24471,4.70217,0.0377606,0
30.4,-6.1032,1.04475,4.71605,0.113794,0
30.6,-6.11193,0.844951,4.74771,0.215281,0
30.8,-6.11853,0.645108,4.8022,0.348482,0
31,-6.11008,0.445389,4.88719,0.51976,0
31.2,-6.07982,0.247884,5.01009,0.711475,0
31.4,-6.02247,0.0566196,5.17155,0.882471,0
31.6,-5.93182,-0.12109,5.36259,0.999781,0
31.8,-5.80315,-0.273171,5.57088,1.0566,0
32,-5.64018,-0.387561,5.7846,1.04111,0
32.2,-5.45269,-0.45513,5.98673,0.932979,0
32.4,-5.25463,-0.477363,6.1572,0.75454,0
32.6,-5.05559,-0.461346,6.28807,0.562128,0
32.8,-4.8602,-0.419004,6.38178,0.384526,0
33,-4.66586,-0.37191,6.44185,0.226281,0
33.2,-4.46917,-0.335911,6.47235,0.0939475,0
33.4,-4.27209,-0.301995,6.47953,0.0083937,0
33.6,-4.07546,-0.265461,6.47575,-0.015861,0
33.8,-3.87945,-0.225807,6.47319,-0.00545607,0
34,-3.6833,-0.186835,6.47357,-0.00174423,0
34.2,-3.48723,-0.147457,6.4725,-0.0108444,0
34.4,-3.29124,-0.107725,6.46923,-0.0174045,0
34.6,-3.09458,-0.0713482,6.46553,-0.0233124,0
34.8,-2.89763,-0.03677,6.45991,-0.0386089,0
35,-2.70036,-0.00385774,6.45009,-0.0573066,0
35.2,-2.50333,0.0304295,6.43698,-0.0742471,0
35.4,-2.30628,0.0645982,6.42039,-0.0897623,0
35.6,-2.10836,0.0932673,6.40108,-0.100823,0.736012
35.8,-1.90976,0.116599,6.38007,-0.112335,1.44164
36,-1.71045,0.133077,6.35615,-0.122722,1.85034
36.2,-1.51065,0.141462,6.33098,-0.131626,2.12647
36.4,-1.31073,0.146825,6.3035,-0.152236,2.30195
36.6,-1.11076,0.150141,6.27009,-0.185348,2.30349
36.8,-0.910784,0.148658,6.22936,-0.227821,2.30489
37,-0.710899,0.142775,6.17897,-0.27646,2.30615
37.2,-0.511871,0.123903,6.1188,-0.316127,2.30729
37.4,-0.314973,0.0893318,6.05255,-0.333104,2.30836
37.6,-0.122449,0.0356428,5.98558,-0.319488,2.3094
37.8,0.0643198,-0.0356556,5.92478,-0.275313,2.42617
38,0.245716,-0.119794,5.87548,-0.213057,2.6257
38.2,0.422717,-0.21287,5.83958,-0.14688,2.87752
38.4,0.599162,-0.30703,5.81674,-0.0820672,3.15343
38.6,0.776089,-0.400278,5.80674,-0.0157554,3.4352
38.8,0.954091,-0.491465,5.81043,0.0469363,3.70911
39,1.13195,-0.582932,5.82552,0.100017,3.95891
39.2,1.30921,-0.67554,5.85044,0.136195,4.16912
39.4,1.48863,-0.763863,5.87998,0.160428,4.3309
39.6,1.67208,-0.843452,5.89182,0.18674,4.4351
39.8,1.85963,-0.912719,5.90918,0.221702,4.43583
40,2.05216,-0.966517,5.93304,0.249121,4.43649
